Date,^GSPC,^FTLC,^RUT,IEUS,GOVT,IGOV,SIVR,SGOL,Total
2021-03-17,5308.146938033239,0.0,0.0,0.0,4695.887179058253,0.0,0.0,0.0,10004.034117091493
2021-03-18,5229.795826440933,0.0,0.0,0.0,4679.762187311424,0.0,0.0,0.0,9909.558013752358
2021-03-19,5226.643807709448,0.0,0.0,0.0,4685.137184560367,0.0,0.0,0.0,9911.780992269814
2021-03-22,5263.361597606657,0.0,0.0,0.0,4697.678499326653,0.0,0.0,0.0,9961.04009693331
2021-03-23,5223.1976527379675,0.0,0.0,0.0,4706.636828074891,0.0,0.0,0.0,9929.834480812859
2021-03-24,5194.640676080375,0.0,0.0,0.0,4715.596193266872,0.0,0.0,0.0,9910.236869347247
2021-03-25,5221.861974202466,0.0,0.0,0.0,4710.220505055434,0.0,0.0,0.0,9932.0824792579
2021-03-26,5308.707818668264,0.0,0.0,0.0,4703.053842056844,0.0,0.0,0.0,10011.761660725108
2021-03-29,5304.099792939462,0.0,0.0,0.0,4692.303847558957,0.0,0.0,0.0,9996.403640498418
2021-03-30,5287.350331929326,0.0,0.0,0.0,4694.095513308605,0.0,0.0,0.0,9981.445845237931
2021-03-31,5306.50375342865,0.0,0.0,0.0,4692.303847558957,0.0,0.0,0.0,9998.807600987608
2021-04-01,5369.254231032446,0.0,0.0,0.0,4706.467887744853,0.0,0.0,0.0,10075.7221187773
2021-04-06,5441.474134659786,0.0,0.0,0.0,4711.847030768767,0.0,0.0,0.0,10153.321165428551
2021-04-07,5449.501575701887,0.0,0.0,0.0,4706.467887744853,0.0,0.0,0.0,10155.969463446741
2021-04-08,5472.5019209520215,0.0,0.0,0.0,4717.225137348937,0.0,0.0,0.0,10189.72705830096
2021-04-09,5514.749276505115,0.0,0.0,0.0,4711.847030768767,0.0,0.0,0.0,10226.596307273881
2021-04-12,5513.6679508157295,0.0,0.0,0.0,4708.261626381986,0.0,0.0,0.0,10221.929577197716
2021-04-13,5531.832657149125,0.0,0.0,0.0,4720.811232698213,0.0,0.0,0.0,10252.643889847339
2021-04-14,5509.220036942623,0.0,0.0,0.0,4715.432435155547,0.0,0.0,0.0,10224.652472098169
2021-04-15,5570.340373677528,0.0,0.0,0.0,4738.741018482095,0.0,0.0,0.0,10309.081392159624
2021-04-16,5590.4427269489015,0.0,0.0,0.0,4727.983077915516,0.0,0.0,0.0,10318.425804864419
2021-04-19,5560.776706663564,0.0,0.0,0.0,4726.190375722126,0.0,0.0,0.0,10286.96708238569
2021-04-20,5522.950525325396,0.0,0.0,0.0,4735.15492313282,0.0,0.0,0.0,10258.105448458216
2021-04-21,5574.347409284033,0.0,0.0,0.0,4733.361529976934,0.0,0.0,0.0,10307.708939260967
2021-04-22,5523.004004641759,0.0,0.0,0.0,4738.741018482095,0.0,0.0,0.0,10261.745023123854
2021-04-23,5583.363239398671,0.0,0.0,0.0,4736.9483162887045,0.0,0.0,0.0,10320.311555687374
2021-04-26,5593.314305362873,0.0,0.0,0.0,4735.15492313282,0.0,0.0,0.0,10328.469228495693
2021-04-27,5592.112325118278,0.0,0.0,0.0,4720.811232698213,0.0,0.0,0.0,10312.923557816492
2021-04-28,5587.383970927659,0.0,0.0,0.0,4726.190375722126,0.0,0.0,0.0,10313.574346649784
2021-04-29,5625.170368871948,0.0,0.0,0.0,4720.811232698213,0.0,0.0,0.0,10345.981601570162
2021-04-30,5584.698917934173,0.0,0.0,0.0,4726.190375722126,0.0,0.0,0.0,10310.889293656299
2021-05-04,5562.647178362695,0.0,0.0,0.0,4735.161487276522,0.0,0.0,0.0,10297.808665639217
2021-05-06,5612.013804859898,0.0,0.0,0.0,4740.544776075406,0.0,0.0,0.0,10352.558580935303
2021-05-07,5653.393099802272,0.0,0.0,0.0,4738.750346475778,0.0,0.0,0.0,10392.14344627805
2021-05-10,5594.396283239043,0.0,0.0,0.0,4727.984805321754,0.0,0.0,0.0,10322.381088560796
2021-05-12,5426.915369060173,0.0,0.0,0.0,4704.658602451582,0.0,0.0,0.0,10131.573971511756
