Date,^GSPC,^FTLC,^RUT,IEUS,GOVT,IGOV,SIVR,SGOL,Total
2021-02-04,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,10000.0
2021-02-05,1254.8718689557816,1250.536441483254,1267.5432917804367,1263.0757360276002,1248.1460774687587,1255.790324528518,1274.057428126816,1262.3259917742823,10076.347160145446
2021-02-08,1264.1571030618186,1256.1351913732483,1299.570524121638,1269.90640142894,1248.6095357425245,1257.1799208152743,1296.6418301797403,1274.6519835485647,10166.852490271749
2021-02-09,1262.7494325335572,1257.677317401016,1304.8147501106293,1275.7612029026059,1249.5363628538782,1264.8230995232993,1290.259310273942,1278.27721830236,10183.898693901288
2021-02-10,1262.3135504561012,1255.2634944253302,1295.4159642403285,1269.90640142894,1251.8540119674192,1263.201829942294,1280.9309255091184,1283.3527405690515,10162.238918538584
2021-02-11,1264.4120901360627,1256.2022260962854,1297.0506019657,1277.7126250840527,1250.4635477099437,1265.0545954260524,1280.9309255091184,1271.7518234042966,10163.578435331512
2021-02-12,1270.36877736165,1266.0252275808384,1299.3435565371542,1284.738386852452,1245.8285177913956,1260.190875378784,1293.205081488589,1268.851524966187,10188.55194795705
2021-02-16,1269.6455914555636,1295.158894720355,1289.9957621632454,1298.0095249210124,1240.2669290700276,1251.6212695810054,1290.7502877504464,1250.0,10185.448259661656
2021-02-18,1263.6340445688713,1269.1765962088894,1259.0638770475302,1267.9546735735926,1241.193935053737,1248.147145820493,1278.9670156031013,1236.9489336161903,10065.086221492404
2021-02-19,1261.2901340196297,1271.3893150154636,1286.4769332206495,1277.5175287169932,1236.5589051351892,1247.452303329241,1289.7683327974378,1242.0243175890405,10112.477769823645
2021-02-22,1251.5367799031026,1268.9083754672622,1277.6117567324295,1283.9578485472634,1234.2417926387157,1252.3161120722577,1341.3197504534637,1260.1507679457004,10170.043183760195
2021-02-23,1253.1091082360304,1271.925674649239,1266.3968144947098,1276.34656842226,1233.778244928772,1249.305157508748,1313.3346898033708,1257.9756824109595,10122.171940454089
2021-02-24,1267.333918839356,1279.9047710781397,1296.5169925836194,1290.983763152613,1231.4609535599427,1249.5368308029974,1324.6268908298332,1255.8004585823776,10196.16457942888
2021-02-25,1236.3110957700237,1277.557982825491,1248.7229955686173,1269.3208830723356,1219.873870662551,1235.1769891724489,1297.623785132749,1233.3236988623948,10017.911301066611
2021-02-26,1230.4383532844888,1247.9214324889786,1249.2225182438706,1258.1967984816076,1232.8512389450623,1233.555630895695,1259.3283847648238,1203.59633134098,9915.110688445506
2021-03-01,1259.7114211571768,1267.835574350233,1291.37502671511,1278.298219859132,1229.0943828571023,1236.5665854592048,1256.3826135501768,1199.9709582933433,10019.234782241478
