Date,^GSPC,^FTLC,^RUT,IEUS,GOVT,IGOV,SIVR,SGOL,Total
2021-02-04,3787.4,421.6,0.0,5363.0,428.0,0.0,0.0,0.0,10000.0
2021-02-05,3802.1613731865023,421.78093098347193,0.0,5419.09980655734,427.36524750283445,0.0,0.0,0.0,10070.407358230148
2021-02-08,3830.2948897090655,423.6692773463692,0.0,5448.405763737809,427.5239968730248,0.0,0.0,0.0,10129.89392766627
2021-02-09,3826.0297606220756,424.1894056130146,0.0,5473.5255303105605,427.84131187570864,0.0,0.0,0.0,10151.58600842136
2021-02-10,3824.7090727979507,423.3752713997754,0.0,5448.405763737809,428.6348137430646,0.0,0.0,0.0,10125.1249216786
2021-02-11,3831.067480145059,423.6918868177552,0.0,5481.898895123413,428.15862687839245,0.0,0.0,0.0,10164.81688896462
2021-02-12,3849.1157659036107,427.00498875846523,0.0,5512.041893705942,426.57174563547846,0.0,0.0,0.0,10214.734394003497
2021-02-16,3846.9245704630416,436.83119201128136,0.0,5568.9790695311485,424.6674268980827,0.0,0.0,0.0,10277.402258903554
2021-02-18,3828.710064320115,428.0678823693342,0.0,5440.032726790763,424.9848643925645,0.0,0.0,0.0,10121.795537872778
2021-02-19,3821.608202868757,428.8141881684156,0.0,5481.06054225813,423.3978606578525,0.0,0.0,0.0,10154.880793953156
2021-02-22,3792.056320164009,427.9774168775983,0.0,5508.693072366091,422.60438941344603,0.0,0.0,0.0,10151.331198821143
2021-02-23,3796.8203492265134,428.99509154569535,0.0,5476.037310248353,422.44567066620516,0.0,0.0,0.0,10124.298421686766
2021-02-24,3839.9203873697425,431.686281189235,0.0,5538.835743082814,421.65226066769765,0.0,0.0,0.0,10232.094672309488
2021-02-25,3745.9237152955106,430.89475644738167,0.0,5445.893983800018,417.68487382271576,0.0,0.0,0.0,10040.397329365627
2021-02-26,3728.129775383739,420.8989407498827,0.0,5398.167214189724,422.1282944176224,0.0,0.0,0.0,9969.324224740967
2021-03-01,3816.8248291925534,427.6155825168466,0.0,5484.409691463788,420.84194680106805,0.0,0.0,0.0,10149.692049974255
2021-03-02,3785.9816338178157,428.79157869702965,0.0,5497.807271883835,421.1596292791458,0.0,0.0,0.0,10133.740113677826
2021-03-04,3686.379561396379,431.2000533265724,0.0,5369.69797054551,418.61859817581666,0.0,0.0,0.0,9905.896183444278
2021-03-05,3758.249100090317,428.8707256499766,0.0,5380.583443161959,418.61859817581666,0.0,0.0,0.0,9986.32186707807
2021-03-08,3738.1077748940374,434.4905457958965,0.0,5392.305957180469,417.3481744930006,0.0,0.0,0.0,9982.252452363404
2021-03-09,3791.0193533407987,435.7230518514483,0.0,5476.874679516219,418.77743941485556,0.0,0.0,0.0,10122.394524123321
2021-03-10,3813.8803879296893,435.56475794555456,0.0,5491.945687008774,419.25381001722474,0.0,0.0,0.0,10160.644642901243
2021-03-11,3853.5275319388847,436.62765155642353,0.0,5567.304330995417,418.93618878504594,0.0,0.0,0.0,10276.395703275772
2021-03-15,3882.482597487667,437.2722009311721,0.0,5556.419186244773,417.03052263787237,0.0,0.0,0.0,10293.204507301485
2021-03-16,3876.3883277053837,441.02628418558066,0.0,5582.375666353779,416.7129626515926,0.0,0.0,0.0,10316.503240896336
2021-03-17,3887.549930987177,438.0863351444113,0.0,5585.725143425242,416.23650018037495,0.0,0.0,0.0,10327.597909737206
2021-03-18,3830.1675973744796,439.0248628595615,0.0,5532.974158207753,414.807357750318,0.0,0.0,0.0,10216.973976192114
2021-03-19,3827.859140139761,434.7166957221403,0.0,5528.787967600036,415.2836364838386,0.0,0.0,0.0,10206.647439945775
2021-03-22,3854.7503025825595,435.7682984004124,0.0,5536.324291010828,416.3953414194138,0.0,0.0,0.0,10243.238233413214
2021-03-23,3825.3352651080513,433.8799520375151,0.0,5436.6832497193,417.18942512281023,0.0,0.0,0.0,10113.087891987676
2021-03-24,3804.4208718309956,434.8749896280341,0.0,5424.961063566596,417.98341695735814,0.0,0.0,0.0,10082.240341982984
2021-03-25,3824.3570485931114,432.3986589781414,0.0,5424.961063566596,417.50701573203946,0.0,0.0,0.0,10099.223786869888
2021-03-26,3887.9607055002866,436.65028863400164,0.0,5485.248044329071,416.87177326768193,0.0,0.0,0.0,10226.73081173104
2021-03-29,3884.5859062882223,436.23188918549687,0.0,5478.549090186144,415.91894019409517,0.0,0.0,0.0,10215.285825853958
2021-03-30,3872.319032979295,438.6517099600208,0.0,5490.271276338848,416.07772018723506,0.0,0.0,0.0,10217.3197394654
2021-03-31,3886.346504957201,435.3499265580998,0.0,5505.343595294627,415.91894019409517,0.0,0.0,0.0,10242.958967004024
2021-04-01,3932.3033365456713,437.3965668268909,0.0,5600.796478783604,417.1743892546074,0.0,0.0,0.0,10387.670771410772
2021-04-06,3985.195331556343,442.9372400198639,0.0,5669.456824358932,417.65115795532,0.0,0.0,0.0,10515.240553890459
2021-04-07,3991.0744223640263,446.82703531497253,0.0,5675.317753502381,417.1743892546074,0.0,0.0,0.0,10530.393600435986
2021-04-08,4007.9192820926023,450.1514281882795,0.0,5710.485295557911,418.1279572789821,0.0,0.0,0.0,10586.683963117775
2021-04-09,4038.8601558253995,448.77191915943075,0.0,5716.346880432971,417.65115795532,0.0,0.0,0.0,10621.630113373123
2021-04-12,4038.068220775707,446.9966477596554,0.0,5682.016051913696,417.33332236249475,0.0,0.0,0.0,10584.414242811552
2021-04-13,4051.3715832630614,447.4941665549149,0.0,5756.537326632472,418.4457622488579,0.0,0.0,0.0,10673.848838699307
