Date,^GSPC,^FTLC,^RUT,IEUS,GOVT,IGOV,SIVR,SGOL,Total
2021-02-04,2086.001354355878,672.4710843585498,984.2801557842896,1117.835238548537,3458.430350235131,779.6114818671268,418.4358461351807,482.934488715305,9999.999999999998
2021-02-05,2094.131534547882,672.7596774673008,998.0941669575836,1129.5284533498252,3453.3015155699745,783.2228446560625,426.4890383704451,487.6966059436427,10045.223836862715
2021-02-08,2109.626743284445,675.7716753949621,1023.3131823480935,1135.6369001405067,3454.5835386509884,784.0895208323145,434.04913707642316,492.45872317198035,10109.529420899713
2021-02-09,2107.2776211816936,676.6013035246505,1027.4426124068234,1140.8726628620827,3457.1475848130162,788.8564887353054,431.9125969826173,493.8593238858181,10123.970194392006
2021-02-10,2106.5502206985634,675.3027226015233,1020.0417816703412,1135.6369001405067,3463.5596797943545,787.8453204308624,428.78993252490244,495.8202396864803,10113.546797547533
2021-02-11,2110.0522659902185,675.8077385252745,1021.3289348503247,1142.6177576458476,3459.7126207631786,789.0008702263387,428.78993252490244,491.33825328680865,10118.648373812894
2021-02-12,2119.9927920862583,681.0922860932529,1023.1344625965623,1148.9006729117389,3446.888678247535,785.9674206315884,432.89868999919446,490.2177299721445,10129.092732538275
2021-02-16,2118.7859386626205,696.7655250793744,1015.7737837944901,1160.7686295426827,3431.501679357998,780.6226501715698,432.0769510432688,482.934488715305,10119.22964636731
2021-02-18,2108.7538627046893,682.7876495160681,991.4172712341718,1133.8915320022957,3434.066220414093,778.4558767530716,428.1325162822965,477.8922406583013,10035.397169564987
2021-02-19,2104.8423422405235,683.9780410482581,1013.0029729946529,1142.443289170638,3421.243020239551,778.0225110056562,431.7482429219658,479.85310302947113,10055.133522650714
2021-02-22,2088.5659343232533,682.6433529616926,1006.0223191587485,1148.2026623336774,3414.8314201522794,781.0560159189853,449.0050117750596,486.8562134576446,10057.182930081339
2021-02-23,2091.1898375488367,684.2665901238829,997.1914030844648,1141.396136626323,3413.548654730165,779.1781161197114,439.63704974924684,486.01587440113894,10032.423662383768
2021-02-24,2114.9282168960312,688.5591594260784,1020.9087579497468,1154.4857142767914,3407.1370546428934,779.3226082479025,443.4170991022359,485.17548191514084,10093.934092456822
2021-02-25,2063.157296145175,687.2966416332637,983.2746116877627,1135.1132896990434,3375.079054206537,770.3665303175271,434.3778451977262,476.4916399444636,9925.1569088315
2021-02-26,2053.356857122288,671.3528631201104,983.6679478930556,1125.165374697355,3410.9841136740697,769.3553066945051,421.5585105928956,465.00654311661845,9900.4475169109
2021-03-01,2102.207784505151,682.0662107773168,1016.8598499768717,1143.1414364259226,3400.5896061341828,771.233206493779,420.5724175763184,463.6058889732883,10000.276400862831
2021-03-02,2085.220155175171,683.9419779179458,997.2807629602304,1145.933820431226,3403.1568691076473,775.7112454589667,423.5307279733818,466.12701300179015,9980.90257202636
2021-03-04,2030.3619257914859,687.7836039752955,959.476734736626,1119.231396381883,3382.624951495771,764.5883941100931,402.82258654127014,456.8829093737808,9803.772502406204
2021-03-05,2069.9457973267045,684.068220890602,979.717237585857,1121.5002382843345,3382.624951495771,759.9659183352932,399.2068912489326,456.8829093737808,9853.912164541274
2021-03-08,2058.8524795789194,693.0320884129617,984.5304507232471,1123.9436853392187,3372.358621519282,755.7767529893298,398.7138290669781,452.4009229741092,9839.608830604046
2021-03-09,2087.9947999836963,694.9979913628084,1003.3363947854625,1141.570810117367,3383.9077169178854,761.699326006376,411.3688096111572,461.92515743078457,9946.801006215537
2021-03-10,2100.586062885529,694.7455054174959,1021.4897608049992,1144.712199411701,3387.757497866431,763.4327336774589,415.6419211461007,464.16615063062034,9992.531831840335
2021-03-11,2122.4226780039544,696.440868840311,1045.1133914538188,1160.4194192378172,3385.191719575168,768.3441383900621,415.1488589641462,463.6058889732883,10056.686963438568
2021-03-15,2138.3703745636585,697.4689542695326,1054.7799696630093,1158.1507140125889,3369.7921008869184,764.1550836812565,416.2993060413749,465.84688217312413,10064.863385291463
2021-03-16,2135.0138093686296,703.4568869945431,1036.6131832958301,1163.5608085321512,3367.225332807521,763.57722580565,412.02619450643135,466.12701300179015,10047.600454312545
2021-03-17,2141.161329979762,698.7675351926597,1044.152472740916,1164.2590924646588,3363.3755518589755,765.0217598575085,417.44975311860355,469.4885295162901,10063.676024729375
2021-03-18,2109.55663397929,700.2645293821938,1013.405256098374,1153.2639565800437,3351.8267039074058,759.9659183352932,412.1905485670828,467.2475363164543,9967.721083166136
2021-03-19,2108.2851958111282,693.3928077823373,1022.3255320484233,1152.391135833715,3355.676732302985,760.2548472730965,415.4775670854492,469.2083986876241,9977.012216824758
2021-03-22,2123.09614825235,695.0701616565593,1013.070074732865,1153.9621038353282,3364.6593070692243,762.4215653730158,409.067884109368,467.8077979737863,9989.155043002496
2021-03-23,2106.89511112655,692.0581637288979,976.8033855196843,1133.1933847470111,3371.0753612031003,760.2548472730965,397.2346738684464,464.7264122879524,9902.241339754739
2021-03-24,2095.376007598676,693.6452937276498,953.823386015115,1130.7501427079615,3377.491415336976,759.0991868404623,397.39902792909794,466.40714383045616,9873.991603986393
2021-03-25,2106.356334927834,689.6954342462369,975.6549092653394,1130.7501427079615,3373.6421292824975,757.3657791693795,398.2207668850236,464.7264122879524,9896.411908772225
2021-03-26,2141.3875738913325,696.4769760037495,992.798257739135,1143.3159049011322,3368.5088405707365,757.3657791693795,397.07031980779493,465.84688217312413,9962.770534256386
2021-03-29,2139.528822313193,695.8096099439036,964.7323829121473,1141.919815406398,3360.8095261206786,753.4655427612194,391.4824071349712,460.5245567169468,9908.272663309457
